"1","A12ASB8854TT4"," It's about three feet tall and bipedal with dark short purple fur and no eyes."," I would use it to try to get money in the most ethical way I could think of. Maybe I would try to sneak into big business meetings to get insider information to use on the stock market.",5,5
"2","A171RZ3O028XF6"," I imagined it having yellow and onyx scales all over its body  and no eyes but a long tongue and wide mouth . The animal is as big as a elephant and can not smell. I would name it Lorifroth.","  I would go to the Vatican archives and see what they are hiding in there. I would also play pranks on people ",1,3
"3","A1A8MBDIAQT43U"," This animal would have a very unique appearance one that would defy conventional scientific thinking. The animal would have a trunk that resembles an octopus's but be able to survive on land. It has 4 large wings on either side that allow it to fly like a bird but also glide. This an amphibious flyer-type animal. It has 4 eyes one facing each direction. and also one on top of its head that allows for 360 degree rotation. Unlike a bird this animal has no fur. It has its octopus-like body to conserve heat. It has worm-like lower body to allow for slithering movements when it cannot fly. Finally this animal has 2 appendages where arms would be to act as mouths."," I would use this invisibility power for good. I'd basically become a real-life vigilante and work to fight crime. When I am not doing this I would travel the world. Europe Asia South America would be just some of my destinations. I would enjoy not having to go through security gates. I do understand that with this power comes responsibility. I would be careful not to break the law in ways that would harm others.",5,3
"4","A1B5O1E2T429ET"," It is iridescent blue with a body similar to a dragon with wings that look like those of a bat. It has red glowing eyes and large padded feet like a lion."," I would go to whoever I got the pill from and see other pills they had that could be useful.",3,5
"5","A1B5SSGMTAQ9B5"," Two horns like a unicorn in a way but rainbow color all over"," I would go rob a bank",9,3
"6","A1CY7IOJ9YH136"," It has a small head that sits upon a long neck. The eyes are on top of the head with the nose in the front and mouth where the head and neck meet. The head is covered in feathers but the neck and body have fur. The body is round and fat with 4 legs with a joint only near the ankle and feet that look like human feet."," I would go to each of my sibling's homes and scare them by pretending to be a ghost. I would knock things over move things around and make noises that weren't human-like.",5,5
"7","A1DZMZTXWOM9MR"," It has a long beak like a bird. It has six legs each with three toes on them. It has grey scales and green skin. It has a long streak of black hair that goes down it's back. It has red narrow eyes."," I would sneak into all of the secret intelligence agencies around the world and learn the secrets that each country holds about this world and the life that exists in it.",4,4
"8","A1H0PW1XZMA42P"," The animal has the head of a lion the body of an insect the wings of a bat.  It feasts on vegetation but can be aggressive to humans if pushed.  A very noisy creature.  "," I would probably go into important places to hear important conversations.  I would like to be on the inside of information from matter in the White House to matters across the world.  I would just love to be in the know.  ",4,5
"9","A1H2UHJ78F185L"," The animal would have three horns wings and would have long flowing hair as the animal would run across the field. "," If I was invisible I would watch all of the broadway shows for me off of Broadway street. ",2,5
"10","A1HXEXQTZCJ1DW"," I imagined something that looks like a cat but human ears. It had stripes and spots"," I would probably go to meeting with the President to see the things he says behind closed doors",3,4
"11","A1KWRC85I15X6Y"," THAT ANIMAL LOOKS LIKE VERY DIFFERENT FROM OTHER ALL ANIMALS. BECAUSE IT HAVE 3 EYES AND 4 EARS AND 2 TAILS."," IF I SWALLOWED A PILL THAT MADE INVISIBLE TO ME I TRY TO GET THE PILL OUT. AND NEXT I GO TO THE HOSPITAL AND VISIT MY FAMILY DOCTOR.",4,4
"12","A1LEKO0AKAJGD0"," The animal looks like a circle fluff with antennas and big boggily eyes. It is found in greenland. It's fluffy like the cotton in the pillow. It is a very friendly animal and consumes grass"," I would go see if my friends would talk behind my back. I would go get on flights for free to travel to greenland iceland and sweden. Adventure and have a lot of fun. See new scenery try new food.",2,11
"13","A1M24593XO5Z3C"," it has a triangular body and head and only has 2 front legs in the shape of a circle. It's also multi colored "," I would go to all of my friends and family. I would see what they really talk about ",4,4
"14","A1MLAXF28U2EYB"," The animal has four legs and four horns standing seven feet tall on all four legs.  It has a crescent shaped mouth with a huge jaw and razor sharp teeth.  Its back is hunched over like a camel with fur projecting out of every part of its body.  Its eyes are glowing red in the dark and nostrils that project steam out with each breath"," I would go to my friends house and try to spook them and maybe go around town spooking people like at the mall or the grocery store.",10,6
"15","A1QWB22PR3CG8N"," The animal would have four legs and be a hybrid between a lion and a zebra. It would have the body of a zebra but the mane of a male lion. The fur on the mane would resemble the rest of the zebra like body. "," I would sit in on meetings about my company's future and find out whether or not my job would be eliminated in the current crisis. Would also be interesting to see what my superiors at work think of me. ",4,3
"16","A1ROEDVMTO9Y3X"," It would be a cute soft animal that is very large but very fun to be around. "," Sneak up and see if people are talking about me",4,6
"17","A1W0RR1MDYW3NQ"," nothing"," nothing",8,6
"18","A1YFVXP4A1CXSF"," The animal has a lot of eyes. It can breathe in different atmospheres so it has different lungs It has wings. It can live in water and also extremely dry conditions. It can have fish skin that also goes to more of a lizard skin. It also has telepathy and can travel backwards in time. I thas a long tail long body and wings with pointy ears."," I would go upstairs and see who was up there. I would also wait for my crazy room mate and see where she moved to. I would try and watch her to seee exactly what she was doing. She has made my life a living hell. I would like to just see what the heck I really already know that she is a lier but I am not sure what is going on and why she doesn't just leave me alone.",5,6
"19","A1ZT30BGR3266K"," The animal is like a lion but with more feathers. It probably might remind someone of a griffin. "," If I could swallow a pill that made me invisible I would go to the homes of my family and see what they were like when no one else was around.",6,3
"20","A21UA6O7ZFAIQJ"," I don't know.  If it doesn't exist I guess it probably looks like a mythological creature or alien of some sort."," I wouldn't do anything.  I'd probably just stay home.  I don't have any desire to wander around invisible anywhere.",7,6
"21","A222R4PNCF08OF"," The animal is small and fluffy with fur. Think of pokemon just chubby and cute. It would be pink."," I would get free plane travel and travel all around the world! I would go to each continent and visit all the places I have always dreamed of visiting.",5,7
"22","A22ZZCICZDCSTY"," The animal looks like a frog with an additional appendage that protrudes from the top of its head.  The appendage ends with five toe-like parts."," I would not go anywhere.  I would stay inside and watch television where it is warm and comfortable.",7,6
"23","A23EGLIF8IEH11"," A purple land-jellyfish type creature with one eye with tentacle appendages that moves like a starfish. It has a beak mouth like a squid"," Movie theaters concerts paid entertainment events in general.",6,6
"24","A23KH0CK7RRUGX"," na"," xs are red color and os are blue color",4,4
"25","A248LF7KKHXZ14"," it looks pink and teal and fluffy and small with big eyes"," I would follow my teen daughter around and see how she is with her friends and what her days are like so since she doesnt like to share too much information with me",2,4
"26","A25CZJEFKXF4UV"," I would look like a giant blob and not have a face or eyes. It would roll around on dry land and make it be able to eat a lot of the things that it rolls over."," I would immediately make the most money that I could. I would also really like to be able to get into areas that were off limits to all but the highest rank people. I would love to be able to know a lot of the secrets that are hidden around so many events in the USA.",5,10
"27","A2615YW1YERQBO"," It would be about four feet tall and furry with a medium-size beak and 2 horns out of it's forehead. It would have long legs and a corkscrew tail. It has long pointy ears and whiskers."," I might consider playing with it for a while... eavesdrop on some conversations sneak into some concerts sporting events and movie sets. Travel for free to some exotic locations. Then maybe I would try to figure out some way of monetizing this new power of mine.",5,3
"28","A270HX8LH9LJ8W"," This animal is shaped like a snake but has long yak-like fur. It howl's like a wolf but has a very deep baritone voice."," I'd wreak havoc at a White House press conference. I'd start out by spilling some water and then I'd go around poking people so that it would look like they were acting strangely.",3,5
"29","A27543PSHZQKUV"," It looks like a giant bunny rabbit only it's on deer like legs and has a tigers maw of teeth. I imagine it's an ambush predator that feed on deer and unlucky forest children. I think it's fur would be set up to look exactly like a deer from a distance."," The first thing I would do is walk around my house naked to make sure I was actually invisible. If nobody called me on this I would assume I was actually invisible. I would mostly just stay inside messing with my friends and pretending to be a ghost because going outside while invisible is a good way to get hit by a car.",5,3
"30","A2ATBS6XTIZE89"," A small frilly lizard deep in the Amazon. Something small enough to be easy to miss but incredibly brightly colored and with lots of wavy bits. I'm not sure what makes it special of course because then someone would have imagined it. There is something though and it's spectacular enough to make the news everywhere. Does it counter diseases in some way no ones ever considered or make us reconsider what we know about animal behavior? I dont' know."," I'd like to say I'd do something interesting discover some secret and say with certainty I wouldn't do anything to abuse the power. The honest truth though is I probably wouldn't go anywhere until it wore off. I don't want to steal or sneak into Area 51 I definitely don't want to get sick and frankly I can't think of any use for invisibility that isn't a least a little creepy. So nowhere and nothing. At most I might sunbathe naked in my yard just because I could.",4,6
"31","A2BJGX6XXE49JG"," This animal would like like a cross between different animals. Its appearance is not distinct of one particular type of animal. Instead it is mixed of all types. "," I would find out if there is any news of a space mission. Once I have confirmation that there is a mission I will find a way to get to that spaceship. I would do this because I am really interested in venturing into space. It seems like a cool trip. ",3,2
"32","A2C73Y1COWCA51"," it looks like an extraterrestrial with a face similar to a cat scales on its back and wings to fly. It has small legs with claws for running and jumping. "," i would go spy on hot chicks while they are doing certain activities. Besides that i would get spy and the facts i can use against the people i dont like.",7,2
"33","A2FOUSWQDYHIE0"," This animal is a mixture of a dog cat and a rabbit. It is capable of making each animals sounds and it also is capable of each trait from each animal. It is brave like a dog quick like a cat and hops like a bunny. This animal is the size of a normal dog  cat or a rabbit but it has all of their traits combined into one."," I would go somewhere that I normally could not go if I was not invisible. I would probably go to the white house and eavesdrop on important meetings between the president and others. I would also want to go into sports locker rooms such as basketball or football and listen in on their conversations as well as to just be able to see everything.",1,8
"34","A2GVON0W6E874S"," This animal has three heads. It is a red color."," I would walk around my neighborhood to see if I am truly visible and people can't see me.",7,5
"35","A2KPDMEBJQUSR9"," gorilla"," at the time i enjoyed and i will go to forest",2,4
"36","A2NO3OTBZYY43Z"," This animal would be a cross between and polar bear and a dog. It would be very fluffy but smaller than the polar bear. It would have spots all over it and floppy ears like a dog."," I would go to a magician's show and watch it to see exactly how the magic is done. I am always amazed by what the magicians can do and I would really like to see the secrets of their magic.",6,5
"37","A2NZ7RMSBXESNI"," It would be a cat that had wings. I think it would be interesting to see what a cat would do if it had wings. I bet it would try to catch birds in the sky."," I would go to Disney World and ride all of the rides for free. I would also try to get some free food.",3,4
"38","A2OO4PG3LBLP5I"," This animal looks part human part animal and part angelic being. It has super powers like one one has ever seen. It does not live off food or anything physical. It thrives off the invisible energies that all matter and life are composed of. It is very benevolent. Some would say it someone resembles a tiger with fur that radiates divine light."," If this happened to me I would sneak into every professional sports stadium and movie theater to watch content for free. I would also secretly go to certain peoples home to over hear what they are talking about at certain times. I would live a good portion of my time like a ghost who lurks and watches while no one is aware.",2,7
"39","A2OVWCQ4B9AHFY"," It resembles a large pink elephant with ballerina slippers and a huge trunk."," I would rob a bank vault.",1,6
